potencia_x,potencia_y,potencia_z,potencia_total_xyz
1.77799424766036e-05,1.02749401385025e-05,1.3752574806289e-05,4.18074574213952e-05
1.24665982154209e-05,4.38783665460159e-06,9.91574256522299e-06,2.67701774352455e-05
1.90342317977038e-05,1.92095317560217e-05,1.53947626539318e-05,5.36385262076573e-05
9.43534743545485e-06,8.5048356582138e-06,1.13491309720516e-05,2.92893140657202e-05
7.15161484550605e-06,9.66851715878091e-06,1.08463435196909e-05,2.76664755239778e-05
7.49606489465393e-06,9.01468332443914e-06,1.01633246072856e-05,2.66740728263787e-05
7.52223308002058e-06,8.12010660639312e-06,1.01576034460825e-05,2.57999431324962e-05
7.77237296976464e-06,8.51336623731782e-06,1.03409055869636e-05,2.6626644794046e-05
7.43849744546776e-06,6.69074919445727e-06,9.49410351243552e-06,2.36233501523606e-05
8.17009713185576e-06,8.10552659023067e-06,9.64008226375419e-06,2.59157059858406e-05
8.33672277082718e-06,8.75126942496739e-06,1.01692944543881e-05,2.72572866501826e-05
7.83453683211334e-06,8.56409556057781e-06,9.91072752976705e-06,2.63093599224582e-05
8.35836838233816e-06,7.67506494839472e-06,9.29187638649846e-06,2.53253097172313e-05
6.73027050351566e-06,6.69807643209148e-06,8.94694979530918e-06,2.23752967309163e-05
6.8731154633375e-06,6.63711336250044e-06,8.83449544428787e-06,2.23447242701258e-05
7.00265376042879e-06,6.65478390740396e-06,8.96561934133918e-06,2.26230570091719e-05
1.23543967760437e-05,1.09859793401302e-05,1.46643434821073e-05,3.80047195982812e-05
1.45542893955916e-05,1.2441216210428e-05,1.38411655517362e-05,4.08366711577557e-05
1.30113677102965e-05,1.03468435337843e-05,1.33579832271397e-05,3.67161944712205e-05
1.27542356631804e-05,1.18992708474611e-05,1.35464435699582e-05,3.81999500805996e-05
1.07665043780828e-05,1.02340807903073e-05,1.1336941158479e-05,3.2337526326869e-05
7.9468013348538e-06,8.58591319644037e-06,9.69737201994986e-06,2.6230086551244e-05
8.36119772175741e-06,7.51565700431972e-06,9.37820861010257e-06,2.52550633361797e-05
7.24532409601762e-06,6.90635491175721e-06,8.66611008645907e-06,2.28177890942339e-05
9.73772952920748e-06,7.4573768886327e-06,1.04825905588659e-05,2.7677696976706e-05
1.36870046499594e-05,1.43810244941119e-05,1.78795587718783e-05,4.59475879159496e-05
1.21546872979127e-05,1.09623987585057e-05,1.21227801211823e-05,3.52398661776007e-05
7.20787852400563e-06,7.01910657517437e-06,9.40821515835669e-06,2.36352002575367e-05
9.59027028071729e-06,6.94447580721098e-06,1.03355257941746e-05,2.68702718821029e-05
7.00262354052502e-06,5.91812695377964e-06,9.17020194656249e-06,2.20909524408671e-05
7.60229485168711e-06,6.39630517172256e-06,9.39737837001651e-06,2.33959783934262e-05
7.24438428926959e-06,5.20393115293729e-06,8.65089622987441e-06,2.10992116720813e-05
7.28138896736754e-06,5.09618056947689e-06,8.23176903588226e-06,2.06093385727267e-05
7.15869985905688e-06,4.94414565345151e-06,8.71945112019694e-06,2.08222966327053e-05
